,close,positive,negative,sentiment,change,momentum,decision
2018-12-06,139.630005,0.4909038004456366,0.5090961995543634,0,0.006124845122675117,1,sell
2018-12-07,137.419998,0.493814515036941,0.5061854849630588,0,0.01582759378974468,0,sell
2018-12-08,139.635002,0.5311792744410511,0.4688207255589494,1,0.016118498269807817,1,buy
2018-12-09,140.742504,0.494117853396307,0.5058821466036929,0,0.007931406768626758,1,sell
2018-12-10,141.850006,0.5069109030116131,0.4930890969883872,0,0.007868994571817558,1,sell
2018-12-11,142.080002,0.593162731937158,0.4068372680628418,1,0.0016214028217947333,1,buy
2018-12-12,144.5,0.4910359495008968,0.5089640504991032,0,0.01703264334131972,1,sell
2018-12-13,145.009995,0.5155956958997229,0.484404304100277,1,0.0035293771626297822,1,buy
2018-12-14,144.059998,0.5343022978693982,0.4656977021306019,1,0.006551251863707713,0,sell
2018-12-15,142.125,0.4540724220576233,0.5459275779423767,0,0.013431889676966449,0,sell
2018-12-16,141.157501,0.4822110391208444,0.5177889608791562,0,0.006807380826737053,0,sell
2018-12-17,140.190002,0.5641351919605359,0.4358648080394641,1,0.006854038879591696,0,sell
2018-12-18,143.66000400000001,0.5202432293734445,0.4797567706265558,1,0.02475213603321029,1,buy
2018-12-19,133.240005,0.4748153676996458,0.5251846323003541,0,0.07253235911089086,0,sell
2018-12-20,133.399994,0.4630583911040134,0.5369416088959865,0,0.0012007579855614382,1,sell
2018-12-21,124.949997,0.4910407018489501,0.5089592981510501,0,0.06334330869610082,0,sell
2018-12-22,124.5049975,0.5174947358940051,0.4825052641059948,1,0.0035614206537355453,0,sell
2018-12-23,124.28249775,0.5375405883833821,0.4624594116166182,1,0.0017870748521560127,0,sell
2018-12-24,124.059998,0.5226108376234606,0.4773891623765397,1,0.001790274206168434,0,sell
2018-12-25,129.1199955,0.507756430419344,0.4922435695806563,0,0.040786696611102596,1,sell
2018-12-26,134.179993,0.5672417171484329,0.4327582828515672,1,0.03918833392462447,1,buy
2018-12-27,134.520004,0.5695937562596434,0.43040624374035696,1,0.002533991785198588,1,buy
2018-12-28,133.199997,0.6141109568864997,0.3858890431135003,1,0.009812719006460956,0,sell
2018-12-29,132.1449965,0.5134200775961513,0.4865799224038488,1,0.007920424352562152,0,sell
