date,pos,neg,class
2018-05-23,0.5474437814685024,0.45255621853149774,1
2018-05-24,0.5511507720483462,0.4488492279516536,1
2018-05-25,0.5212695695720928,0.47873043042790714,1
2018-05-26,0.5823945214081812,0.4176054785918186,1
2018-05-27,0.5678977011676845,0.4321022988323156,1
2018-05-28,0.5677673244823703,0.43223267551762945,1
2018-05-29,0.5550822795762691,0.444917720423731,1
2018-05-30,0.55550298001652,0.4444970199834799,1
2018-05-31,0.563024292702216,0.4369757072977836,1
2018-06-06,0.5337064403132877,0.46629355968671266,1
2018-06-07,0.5006350275956315,0.4993649724043683,0
2018-06-08,0.522572444985985,0.47742755501401507,1
2018-06-09,0.603554788502132,0.3964452114978682,1
2018-06-10,0.560508583547465,0.4394914164525348,1
2018-06-11,0.5414863438203332,0.4585136561796666,1
2018-06-12,0.5514884231345141,0.4485115768654861,1
2018-06-13,0.5511065051608274,0.44889349483917307,1
2018-06-14,0.552105555375949,0.44789444462405065,1
2018-06-15,0.554514994401474,0.44548500559852555,1
2018-06-16,0.6217388938055943,0.3782611061944057,1
2018-06-17,0.6209581198849157,0.3790418801150843,1
2018-06-18,0.5693360072996321,0.43066399270036837,1
2018-06-19,0.45734910238121657,0.5426508976187836,0
2018-06-20,0.5467550765907123,0.4532449234092877,1
2018-06-21,0.5589621946347016,0.44103780536529824,1
2018-06-22,0.5969154716108244,0.40308452838917536,1
2018-06-23,0.5696402641663765,0.4303597358336235,1
2018-06-24,0.5125086401386916,0.4874913598613077,1
2018-06-25,0.47107551442100193,0.5289244855789978,0
2018-06-26,0.573948235723242,0.42605176427675784,1
2018-06-27,0.5197999218610804,0.48020007813891985,1
2018-06-28,0.5975697858408778,0.40243021415912245,1
2018-06-29,0.5689538671123504,0.4310461328876496,1
2018-06-30,0.4513883941614643,0.5486116058385357,0
2018-07-01,0.5645450227780869,0.4354549772219129,1
2018-07-02,0.5377117312165445,0.46228826878345564,1
2018-07-03,0.4667155169333354,0.5332844830666649,0
2018-07-04,0.5766600925675597,0.42333990743244027,1
2018-07-05,0.5318635163285775,0.46813648367142235,1
2018-07-06,0.5677056381894766,0.43229436181052355,1
2018-07-07,0.5369245559090916,0.4630754440909082,1
2018-07-08,0.5766186679493102,0.4233813320506897,1
2018-07-09,0.5353931804918455,0.46460681950815425,1
2018-07-10,0.6045555267200353,0.3954444732799645,1
2018-07-11,0.5480346761385967,0.45196532386140326,1
2018-07-12,0.5798322415541085,0.42016775844589144,1
2018-07-13,0.5925697294012664,0.4074302705987335,1
2018-07-14,0.5014484395455043,0.4985515604544952,0
2018-07-15,0.5565338190187367,0.44346618098126334,1
2018-07-16,0.5648077097953823,0.43519229020461775,1
2018-07-17,0.5673162953970214,0.43268370460297867,1
2018-07-18,0.5044167009473398,0.49558329905266046,0
